,Word,Documents
0,being,"['doc1', 'doc2', 'doc5']"
1,an,"['doc1', 'doc2', 'doc3']"
2,at,"['doc1', 'doc4', 'doc6']"
3,from,"['doc1', 'doc2', 'doc3', 'doc4']"
4,that,"['doc1', 'doc5']"
5,are,"['doc1', 'doc2', 'doc5']"
6,a,"['doc1', 'doc3', 'doc4', 'doc6']"
7,they,"['doc1', 'doc2', 'doc3', 'doc4', 'doc5']"
8,be,"['doc1', 'doc2', 'doc6']"
9,or,"['doc1', 'doc2', 'doc3']"
10,such,"['doc1', 'doc2', 'doc4', 'doc5', 'doc6']"
11,for,"['doc1', 'doc4', 'doc6']"
12,does,"['doc1', 'doc2', 'doc3', 'doc4', 'doc6']"
13,same,"['doc1', 'doc2', 'doc4']"
14,were,"['doc1', 'doc2', 'doc4']"
15,she,"['doc1', 'doc1', 'doc2', 'doc3', 'doc5', 'doc6']"
16,you,"['doc1', 'doc2', 'doc2', 'doc3', 'doc6']"
17,the,"['doc1', 'doc2', 'doc5', 'doc6']"
18,us,"['doc1', 'doc6']"
19,am,"['doc1', 'doc2']"
20,been,"['doc1', 'doc5', 'doc6']"
21,then,"['doc1', 'doc5']"
22,to,"['doc1', 'doc4']"
23,we,"['doc1', 'doc3', 'doc4', 'doc6']"
24,none,"['doc1', 'doc4', 'doc6']"
25,may,"['doc1', 'doc4']"
26,other,['doc1']
27,all,['doc1']
28,how,"['doc1', 'doc3', 'doc4', 'doc6']"
29,with,"['doc2', 'doc3', 'doc4']"
30,had,"['doc2', 'doc3', 'doc5']"
31,was,"['doc2', 'doc5']"
32,and,"['doc2', 'doc5']"
33,has,"['doc2', 'doc4']"
34,could,"['doc2', 'doc3', 'doc4', 'doc5']"
35,is,"['doc2', 'doc6']"
36,must,"['doc2', 'doc5']"
37,when,"['doc2', 'doc3', 'doc5']"
38,I,"['doc2', 'doc4', 'doc5', 'doc6']"
39,of,"['doc2', 'doc5']"
40,do,"['doc2', 'doc3', 'doc4', 'doc5']"
41,what,"['doc2', 'doc4']"
42,some,"['doc2', 'doc4', 'doc5']"
43,any,"['doc3', 'doc4', 'doc6']"
44,where,"['doc3', 'doc4', 'doc5', 'doc6']"
45,he,"['doc3', 'doc4', 'doc5', 'doc6', 'doc6']"
46,who,"['doc3', 'doc5']"
47,it,"['doc3', 'doc3', 'doc4', 'doc5', 'doc6']"
48,so,"['doc3', 'doc5']"
49,would,"['doc3', 'doc5']"
50,there,"['doc3', 'doc4', 'doc6']"
51,have,"['doc3', 'doc6']"
52,more,"['doc3', 'doc4']"
53,by,"['doc3', 'doc4']"
54,this,['doc3']
55,in,"['doc3', 'doc5', 'doc6']"
56,might,"['doc3', 'doc5', 'doc6']"
57,here,['doc4']
58,on,"['doc4', 'doc6']"
59,many,['doc5']
60,will,"['doc5', 'doc6']"
61,why,['doc5']
62,did,['doc6']
63,because,['doc6']
64,should,['doc6']
